#       [nm]       bulge  elliptical          s0          sa          sb          sc         avg
     223.077 8.54359e-16 2.44650e-15 3.25536e-15 3.94877e-15 7.31499e-15 2.51910e-14 7.16849e-15
     223.297 9.14746e-16 2.81112e-15 2.97475e-15 4.12172e-15 8.58160e-15 2.51080e-14 7.41865e-15
     223.516 9.69432e-16 3.15549e-15 2.69786e-15 4.26413e-15 9.82902e-15 2.53855e-14 7.71691e-15
     223.736 9.53828e-16 3.25026e-15 2.46665e-15 4.03001e-15 1.08407e-14 3.01109e-14 8.60873e-15
     223.956 9.38225e-16 3.34502e-15 2.23546e-15 3.79592e-15 1.18523e-14 3.48360e-14 9.50050e-15
     224.176 8.91158e-16 3.03421e-15 2.69387e-15 3.92527e-15 1.10196e-14 4.05582e-14 1.03537e-14
     224.396 8.36228e-16 2.62202e-15 3.32467e-15 4.14547e-15 9.72570e-15 4.65292e-14 1.11972e-14
     224.615 8.25944e-16 2.69820e-15 3.36059e-15 4.49911e-15 9.93216e-15 4.55030e-14 1.11365e-14
     224.835 8.56058e-16 3.21625e-15 2.85827e-15 4.97343e-15 1.14961e-14 3.81460e-14 1.02577e-14
     225.055 8.87374e-16 3.47357e-15 2.58242e-15 5.28893e-15 1.22548e-14 3.41649e-14 9.77534e-15
     225.275 9.22291e-16 2.94867e-15 2.98606e-15 5.12789e-15 1.05979e-14 4.03124e-14 1.04825e-14
     225.495 9.57210e-16 2.42373e-15 3.38973e-15 4.96684e-15 8.94090e-15 4.64603e-14 1.11898e-14
     225.714 1.15628e-15 1.88736e-15 2.79234e-15 4.80240e-15 7.32930e-15 4.01018e-14 9.67824e-15
     225.934 1.35955e-15 1.35073e-15 2.16933e-15 4.63789e-15 5.71898e-15 3.34231e-14 8.10992e-15
     226.154 1.39305e-15 1.24539e-15 1.86288e-15 4.64475e-15 6.02440e-15 2.75530e-14 7.12057e-15
     226.374 1.35379e-15 1.32489e-15 1.69210e-15 4.72506e-15 7.15095e-15 2.20290e-14 6.37930e-15
     226.593 1.23937e-15 1.70662e-15 1.46140e-15 4.81529e-15 8.31889e-15 2.00527e-14 6.26571e-15
     226.813 1.02331e-15 2.49718e-15 1.14966e-15 4.91891e-15 9.54271e-15 2.28753e-14 7.00119e-15
     227.033 8.54651e-16 3.17035e-15 9.42481e-16 4.93257e-15 1.05689e-14 2.55602e-14 7.67151e-15
     227.253 9.54662e-16 3.17819e-15 1.32795e-15 4.43623e-15 1.04748e-14 2.74637e-14 7.97258e-15
     227.473 1.05467e-15 3.18603e-15 1.71342e-15 3.93989e-15 1.03807e-14 2.93672e-14 8.27365e-15
     227.692 1.16440e-15 2.75735e-15 1.18376e-15 2.93283e-15 6.78763e-15 2.81410e-14 7.16115e-15
     227.912 1.27552e-15 2.26630e-15 5.23363e-16 1.85273e-15 2.69459e-15 2.64676e-14 5.84668e-15
     228.132 1.27980e-15 2.08518e-15 5.77825e-16 1.95837e-15 2.26788e-15 2.54227e-14 5.59863e-15
     228.352 1.21286e-15 2.11064e-15 1.10884e-15 2.85446e-15 4.28522e-15 2.47966e-14 6.06144e-15
     228.571 1.11888e-15 2.16049e-15 1.45881e-15 3.60219e-15 5.74664e-15 2.51873e-14 6.54572e-15
     228.791 9.68756e-16 2.26099e-15 1.43285e-15 4.04193e-15 6.05379e-15 2.76896e-14 7.07465e-15
     229.011 8.29252e-16 2.32843e-15 1.43105e-15 4.44832e-15 6.32880e-15 3.00635e-14 7.57156e-15
     229.231 8.91412e-16 1.76764e-15 1.88837e-15 4.22133e-15 5.99361e-15 3.00018e-14 7.46069e-15
     229.451 9.53567e-16 1.20690e-15 2.34565e-15 3.99435e-15 5.65844e-15 2.99401e-14 7.34983e-15
     229.670 9.30909e-16 1.20783e-15 2.43545e-15 3.74697e-15 4.82420e-15 3.01771e-14 7.22042e-15
     229.890 8.83630e-16 1.37184e-15 2.41854e-15 3.49367e-15 3.84514e-15 3.05009e-14 7.08562e-15
     230.110 9.02037e-16 1.67349e-15 2.22778e-15 3.56882e-15 4.01513e-15 2.88626e-14 6.87498e-15
     230.330 9.86127e-16 2.11273e-15 1.86318e-15 3.97240e-15 5.33417e-15 2.52625e-14 6.58851e-15
     230.549 1.03738e-15 2.40342e-15 1.65252e-15 4.35745e-15 6.51935e-15 2.29793e-14 6.49157e-15
     230.769 9.75534e-16 2.18238e-15 1.97212e-15 4.67857e-15 7.24314e-15 2.52327e-14 7.04741e-15
     230.989 9.13681e-16 1.96132e-15 2.29174e-15 4.99971e-15 7.96698e-15 2.74864e-14 7.60330e-15
     231.209 8.95010e-16 1.86793e-15 2.06154e-15 4.74399e-15 7.12370e-15 2.57088e-14 7.06682e-15
     231.429 8.78613e-16 1.78126e-15 1.80241e-15 4.45794e-15 6.19803e-15 2.37192e-14 6.47291e-15
     231.648 8.38599e-16 1.75996e-15 1.44016e-15 4.12434e-15 5.63038e-15 2.34304e-14 6.20398e-15
     231.868 7.87209e-16 1.77014e-15 1.02822e-15 3.76784e-15 5.23509e-15 2.39605e-14 6.09151e-15
     232.088 7.53898e-16 1.76157e-15 9.94340e-16 3.70865e-15 4.76846e-15 2.26897e-14 5.77943e-15
     232.308 7.47700e-16 1.72489e-15 1.52746e-15 4.09538e-15 4.19488e-15 1.87179e-14 5.16804e-15
     232.527 7.39121e-16 1.68271e-15 2.01495e-15 4.46192e-15 3.97790e-15 1.65845e-14 4.91019e-15
     232.747 7.13870e-16 1.60206e-15 2.18290e-15 4.68721e-15 6.25786e-15 2.73237e-14 7.12793e-15
     232.967 6.88619e-16 1.52141e-15 2.35084e-15 4.91251e-15 8.53782e-15 3.80629e-14 9.34568e-15
     233.187 7.90546e-16 1.39005e-15 1.98496e-15 4.27245e-15 7.50874e-15 3.66349e-14 8.76361e-15
     233.407 9.14911e-16 1.24974e-15 1.52489e-15 3.47973e-15 5.89588e-15 3.30605e-14 7.68761e-15
     233.626 9.43943e-16 1.11693e-15 1.55952e-15 3.37911e-15 4.81910e-15 2.63444e-14 6.36049e-15
     233.846 9.02501e-16 9.89670e-16 1.95986e-15 3.79012e-15 4.13868e-15 1.73060e-14 4.84781e-15
     234.066 8.56747e-16 9.54680e-16 2.20138e-15 4.04827e-15 4.18791e-15 1.04548e-14 3.78396e-15
     234.286 8.00926e-16 1.13497e-15 2.07239e-15 3.94981e-15 5.93961e-15 8.70496e-15 3.76711e-15
     234.505 7.46616e-16 1.30796e-15 1.93972e-15 3.85608e-15 7.59175e-15 7.03158e-15 3.74562e-15
